name,text,cooking_time,tags/0,tags/1,tags/2,tags/3,ingredients/0/id,ingredients/0/amount,ingredients/1/id,ingredients/1/amount,ingredients/2/id,ingredients/2/amount,ingredients/3/id,ingredients/3/amount
"Pasta Carbonara","Cook spaghetti according to package instructions. In a pan, fry bacon until crispy. Add minced garlic and cook until fragrant. In a bowl, whisk eggs, Parmesan cheese, and black pepper. Mix the cooked spaghetti with the egg mixture. Add bacon and stir. Serve with additional Parmesan.",20,2,5,8,62,30,15,20,44,3,98,50,9
"Chicken Stir-Fry","Marinate chicken with soy sauce, ginger, and garlic. Stir-fry chicken in a hot wok until cooked. Add vegetables like bell peppers and broccoli. Mix in a sauce made of soy sauce, hoisin, and sesame oil. Cook until vegetables are tender. Serve over rice.",25,3,6,7,84,25,14,25,6,50,10,25
"Caprese Salad","Slice tomatoes and fresh mozzarella. Arrange them on a plate. Drizzle with balsamic glaze and olive oil. Sprinkle with fresh basil, salt, and pepper. A simple and delicious Caprese salad is ready to enjoy.",10,1,4,9,12,2,5,1,7,8,14,10,6,5
"Grilled Salmon","Season salmon fillets with salt, pepper, and lemon juice. Grill for 4-5 minutes per side or until cooked through. Serve with a side of roasted vegetables for a healthy and flavorful meal.",15,2,5,17,10,21,15,5,8,12
"Pumpkin Soup","Saute onions and garlic. Add diced pumpkin, broth, and spices. Simmer until pumpkin is tender. Blend until smooth. Adjust seasoning. Serve hot with a dollop of sour cream and a sprinkle of pumpkin seeds.",30,1,3,8,32,5,16,20,4,35,18,7,12
"Chocolate Cake","Preheat oven to 350°F. Mix flour, sugar, and cocoa powder. Add eggs, milk, and vanilla extract. Beat until smooth. Pour into a greased cake pan. Bake for 30-35 minutes. Let it cool and frost with chocolate icing.",40,4,6,10,15,8,2,40,12,18,25,7,50,30
"Vegetable Stir-Fry","Chop various vegetables. Heat oil in a pan. Add vegetables and stir-fry until tender. Mix soy sauce and ginger. Pour over vegetables and toss. Serve with rice or noodles.",20,5,7,9,56,8,3,20,12,35,10,5,29,15
"Margherita Pizza","Roll out pizza dough. Spread tomato sauce and fresh mozzarella. Add basil leaves. Bake until crust is golden and cheese is melted. Drizzle with olive oil before serving.",18,1,4,8,23,12,5,15,8,40,10,3,27,20
"Grilled Chicken Salad","Marinate chicken in olive oil, lemon juice, and herbs. Grill until cooked. Toss mixed greens, cherry tomatoes, and cucumbers. Slice grilled chicken on top. Dress with balsamic vinaigrette.",30,2,6,7,78,15,10,30,6,45,8,20,32,12
"Lemon Garlic Shrimp","Saute shrimp in garlic and butter. Add lemon juice, parsley, and red pepper flakes. Cook until shrimp turns pink. Serve over pasta or rice.",15,3,5,9,41,10,20,15,8,30,12,4,18,25
"Beef Stir-Fry","Slice beef thinly. Marinate with soy sauce and ginger. Stir-fry beef in a hot wok until browned. Add broccoli, bell peppers, and snap peas. Mix in a savory sauce. Serve over rice.",25,3,5,8,21,10,15,7,20,18,5,32,12,25
"Tomato Basil Soup","Saute onions and garlic. Add tomatoes, broth, and fresh basil. Simmer until tomatoes are soft. Blend until smooth. Season with salt and pepper. Serve with a drizzle of olive oil.",30,1,4,9,15,8,2,25,10,30,7,20,12,35
